num_conversacion,cliente_csv,contacto,fecha_inicio_gestion,canal,agente,tipificacion,es_venta,tipo,direccion,remitente,contenido,hora,url
1001,Valeria Cano,+524405809747,19/05/2026 a las 05:17 pm,WhatsApp,Luis Torres,Seguimiento,Si,mensaje,entrante,Valeria Cano,Quiero saber sobre tratamientos,03/06/2026 a las 08:49 am,https://atom.fi/conv/1001
1001,Valeria Cano,+525699224467,19/05/2026 a las 05:17 pm,WhatsApp,Luis Torres,Seguimiento,Si,mensaje,saliente,Luis Torres,"¡Hola! Con gusto te ayudo. Nuestra consulta de valoración con especialista incluye ultrasonido y evaluación de reserva ovárica. Tiene un costo de $1,200.",03/06/2026 a las 08:52 am,https://atom.fi/conv/1001
1001,Valeria Cano,+529769809255,19/05/2026 a las 05:17 pm,WhatsApp,Luis Torres,Seguimiento,Si,mensaje,saliente,Luis Torres,"La tasa de éxito es muy alta, te garantizo que vas a quedar embarazada.",03/06/2026 a las 08:55 am,https://atom.fi/conv/1001
1001,Valeria Cano,+523269380278,19/05/2026 a las 05:17 pm,WhatsApp,Luis Torres,Seguimiento,Si,mensaje,saliente,Luis Torres,"Quedo atenta, con gusto te agendo cuando gustes.",03/06/2026 a las 09:22 am,https://atom.fi/conv/1001
1002,Laura Méndez,+523229621088,19/05/2026 a las 05:17 pm,WhatsApp,María López,Seguimiento,Si,mensaje,entrante,Laura Méndez,Me interesa información,26/05/2026 a las 04:55 am,https://atom.fi/conv/1002
1002,Laura Méndez,+528044999245,19/05/2026 a las 05:17 pm,WhatsApp,María López,Seguimiento,Si,mensaje,saliente,María López,"Hola, claro que sí, te comparto la información.",26/05/2026 a las 05:05 am,https://atom.fi/conv/1002
1002,Laura Méndez,+524608698330,19/05/2026 a las 05:17 pm,WhatsApp,María López,Seguimiento,Si,mensaje,entrante,Laura Méndez,"Llevo esperando respuesta desde ayer, pésima atención la verdad.",26/05/2026 a las 03:05 pm,https://atom.fi/conv/1002
1002,Laura Méndez,+522241417136,19/05/2026 a las 05:17 pm,WhatsApp,María López,Seguimiento,Si,mensaje,entrante,Laura Méndez,"Gracias, lo reviso.",26/05/2026 a las 05:35 am,https://atom.fi/conv/1002
1003,Carmen Ruiz,+521916982751,19/05/2026 a las 05:17 pm,WhatsApp,María López,Interesado,Si,mensaje,entrante,Carmen Ruiz,"Hola, vi su publicación",23/05/2026 a las 07:23 am,https://atom.fi/conv/1003
1003,Carmen Ruiz,+525519691122,19/05/2026 a las 05:17 pm,WhatsApp,María López,Interesado,Si,mensaje,saliente,María López,"¡Hola! Con gusto te ayudo. Nuestra consulta de valoración con especialista incluye ultrasonido y evaluación de reserva ovárica. Tiene un costo de $1,200.",23/05/2026 a las 07:35 am,https://atom.fi/conv/1003
